c,paper_k,paper_psnr,estimated_k,rel_error,psnr,k_trend_match,psnr_trend_match
0.008,35,21.2012,4,0.05245509424853019,30.631457718930974,True,True
0.005,63,23.1728,4,0.05245509424853019,30.631457718930974,True,True
0.002,152,26.7414,4,0.05245509424853019,30.631457718930974,True,True
0.0009,252,29.4764,5,0.030494786754424637,35.133367240404176,True,True
0.0006,301,30.8243,5,0.030494786754424637,35.133367240404176,True,True
0.0003,374,33.2794,6,0.027844459822705253,35.90407338835069,True,True
