size,residual,time_sec,iters
40,1.2874892192792352e-13,0.0007097999914549291,2
80,5.836331670528192e-14,0.023566000047139823,2
120,1.2803726152385265e-13,0.057656100019812584,2
160,1.4183830216728377e-13,0.10007720004068688,3
200,1.2189156738820067e-13,0.13542949996190146,3
