dtype,init,rcond,tol,max_iter,mean_residual,max_residual,mean_time_sec,trend_match
float64,random,1e-08,1e-13,5,1.1667157433537885e-13,1.4183830216728377e-13,0.058595680000144056,True
float64,random,1e-12,1e-11,5,1.157758739425085e-13,1.4183830216728377e-13,0.058688099999562836,True
float64,random,1e-10,1e-13,50,1.1667157433537885e-13,1.4183830216728377e-13,0.05902977999940049,True
float64,random,1e-10,1e-13,20,1.1667157433537885e-13,1.4183830216728377e-13,0.05942403999797534,True
float64,random,1e-08,1e-11,50,1.157758739425085e-13,1.4183830216728377e-13,0.059624579999945124,True
float64,random,1e-12,1e-11,50,1.157758739425085e-13,1.4183830216728377e-13,0.059994180002831854,True
float64,random,1e-10,1e-11,50,1.157758739425085e-13,1.4183830216728377e-13,0.06029419999395032,True
float64,random,1e-12,1e-11,20,1.157758739425085e-13,1.4183830216728377e-13,0.060326499998336655,True
float64,random,1e-10,1e-11,5,1.157758739425085e-13,1.4183830216728377e-13,0.06094991999561898,True
float64,random,1e-08,1e-11,5,1.157758739425085e-13,1.4183830216728377e-13,0.06157571999938227,True
float64,random,1e-08,1e-13,20,1.1667157433537885e-13,1.4183830216728377e-13,0.061578680004458874,True
float64,random,1e-08,1e-11,20,1.157758739425085e-13,1.4183830216728377e-13,0.061640960001386705,True
float64,random,1e-10,1e-11,20,1.157758739425085e-13,1.4183830216728377e-13,0.06186096000019461,True
float64,random,1e-10,1e-13,5,1.1667157433537885e-13,1.4183830216728377e-13,0.062282560003222895,True
float64,random,1e-12,1e-13,20,1.1667157433537885e-13,1.4183830216728377e-13,0.06360323999833781,True
float64,random,1e-12,1e-13,50,1.1667157433537885e-13,1.4183830216728377e-13,0.06370674000645522,True
float64,random,1e-08,1e-13,50,1.1667157433537885e-13,1.4183830216728377e-13,0.06380195999809075,True
float64,random,1e-12,1e-13,5,1.1667157433537885e-13,1.4183830216728377e-13,0.06434650000010152,True
float64,pinv,1e-12,1e-11,20,1.1893153023389493e-13,1.4276047872951124e-13,0.05506804000178818,True
float64,pinv,1e-12,1e-11,5,1.1893153023389493e-13,1.4276047872951124e-13,0.056464500000583936,True
float64,pinv,1e-08,1e-11,20,1.1893153023389493e-13,1.4276047872951124e-13,0.05647477999445982,True
float64,pinv,1e-10,1e-11,50,1.1893153023389493e-13,1.4276047872951124e-13,0.057704959998955016,True
float64,zero,1e-12,1e-11,5,1.1893153023389493e-13,1.4276047872951124e-13,0.058738720003748315,True
float64,pinv,1e-10,1e-11,5,1.1893153023389493e-13,1.4276047872951124e-13,0.059020639999653214,True
float64,zero,1e-08,1e-11,20,1.1893153023389493e-13,1.4276047872951124e-13,0.05902339999738615,True
float64,pinv,1e-08,1e-11,5,1.1893153023389493e-13,1.4276047872951124e-13,0.059121079999022184,True
float64,pinv,1e-10,1e-11,20,1.1893153023389493e-13,1.4276047872951124e-13,0.05931457999977283,True
float64,pinv,1e-08,1e-11,50,1.1893153023389493e-13,1.4276047872951124e-13,0.05952429999888409,True
float64,zero,1e-10,1e-11,50,1.1893153023389493e-13,1.4276047872951124e-13,0.059639919994515365,True
float64,zero,1e-12,1e-11,20,1.1893153023389493e-13,1.4276047872951124e-13,0.05965962000191212,True
float64,zero,1e-10,1e-11,20,1.1893153023389493e-13,1.4276047872951124e-13,0.060018899998976846,True
float64,zero,1e-08,1e-11,5,1.1893153023389493e-13,1.4276047872951124e-13,0.060090339995804244,True
float64,zero,1e-10,1e-11,5,1.1893153023389493e-13,1.4276047872951124e-13,0.060879900006693785,True
float64,zero,1e-12,1e-11,50,1.1893153023389493e-13,1.4276047872951124e-13,0.06097091999836266,True
float64,zero,1e-08,1e-11,50,1.1893153023389493e-13,1.4276047872951124e-13,0.061455780002870594,True
float64,pinv,1e-12,1e-11,50,1.1893153023389493e-13,1.4276047872951124e-13,0.06188488000188954,True
float64,zero,1e-12,1e-13,50,1.1853628884784229e-13,1.4840526045664256e-13,0.05669386000081431,True
float64,pinv,1e-10,1e-13,50,1.1853628884784229e-13,1.4840526045664256e-13,0.05739355999976396,True
float64,pinv,1e-12,1e-13,50,1.1853628884784229e-13,1.4840526045664256e-13,0.05748692000342999,True
float64,pinv,1e-12,1e-13,20,1.1853628884784229e-13,1.4840526045664256e-13,0.05830477999697905,True
float64,zero,1e-10,1e-13,20,1.1853628884784229e-13,1.4840526045664256e-13,0.05842468000191729,True
float64,pinv,1e-08,1e-13,5,1.1853628884784229e-13,1.4840526045664256e-13,0.05905606000160333,True
float64,zero,1e-10,1e-13,5,1.1853628884784229e-13,1.4840526045664256e-13,0.059228240002994426,True
float64,pinv,1e-08,1e-13,50,1.1853628884784229e-13,1.4840526045664256e-13,0.0592747800052166,True
float64,zero,1e-08,1e-13,50,1.1853628884784229e-13,1.4840526045664256e-13,0.059481619999860416,True
float64,zero,1e-08,1e-13,20,1.1853628884784229e-13,1.4840526045664256e-13,0.05948821999772917,True
float64,pinv,1e-12,1e-13,5,1.1853628884784229e-13,1.4840526045664256e-13,0.06021189999883063,True
float64,pinv,1e-08,1e-13,20,1.1853628884784229e-13,1.4840526045664256e-13,0.06076894000580069,True
float64,pinv,1e-10,1e-13,20,1.1853628884784229e-13,1.4840526045664256e-13,0.06101658000261523,True
float64,pinv,1e-10,1e-13,5,1.1853628884784229e-13,1.4840526045664256e-13,0.06110316000704188,True
float64,zero,1e-12,1e-13,20,1.1853628884784229e-13,1.4840526045664256e-13,0.06203017999941949,True
float64,zero,1e-08,1e-13,5,1.1853628884784229e-13,1.4840526045664256e-13,0.06238506000081543,True
float64,zero,1e-12,1e-13,5,1.1853628884784229e-13,1.4840526045664256e-13,0.06262191999703645,True
float64,zero,1e-10,1e-13,50,1.1853628884784229e-13,1.4840526045664256e-13,0.06270998000109103,True
float32,pinv,1e-08,1e-13,20,1.2862507373080647e-13,3.7013213893978887e-13,0.057230260001961145,True
float32,zero,1e-08,1e-13,50,1.2862507373080647e-13,3.7013213893978887e-13,0.058087780003552324,True
float32,zero,1e-12,1e-13,50,1.2862507373080647e-13,3.7013213893978887e-13,0.058606019997387196,True
float32,zero,1e-08,1e-13,5,1.2862507373080647e-13,3.7013213893978887e-13,0.059627020001062195,True
float32,zero,1e-08,1e-13,20,1.2862507373080647e-13,3.7013213893978887e-13,0.05971698000503238,True
float32,pinv,1e-10,1e-13,20,1.2862507373080647e-13,3.7013213893978887e-13,0.05992038000258617,True
float32,pinv,1e-10,1e-13,5,1.2862507373080647e-13,3.7013213893978887e-13,0.05995929999626241,True
float32,pinv,1e-10,1e-13,50,1.2862507373080647e-13,3.7013213893978887e-13,0.06013651999819558,True
float32,pinv,1e-08,1e-13,5,1.2862507373080647e-13,3.7013213893978887e-13,0.0603571199986618,True
float32,zero,1e-10,1e-13,20,1.2862507373080647e-13,3.7013213893978887e-13,0.060440960002597424,True
float32,pinv,1e-12,1e-13,5,1.2862507373080647e-13,3.7013213893978887e-13,0.06114206000056584,True
float32,pinv,1e-12,1e-13,50,1.2862507373080647e-13,3.7013213893978887e-13,0.06118146000080742,True
float32,zero,1e-12,1e-13,20,1.2862507373080647e-13,3.7013213893978887e-13,0.06129530000325758,True
float32,zero,1e-12,1e-13,5,1.2862507373080647e-13,3.7013213893978887e-13,0.061500580003485086,True
float32,pinv,1e-12,1e-13,20,1.2862507373080647e-13,3.7013213893978887e-13,0.06160356000182219,True
float32,zero,1e-10,1e-13,50,1.2862507373080647e-13,3.7013213893978887e-13,0.061781880000489765,True
float32,zero,1e-10,1e-13,5,1.2862507373080647e-13,3.7013213893978887e-13,0.062006340001244095,True
float32,pinv,1e-08,1e-13,50,1.2862507373080647e-13,3.7013213893978887e-13,0.06315623999980743,True
float32,random,1e-10,1e-11,50,1.2835463633356745e-13,3.740365591134043e-13,0.05934499999857508,True
float32,random,1e-12,1e-11,50,1.2835463633356745e-13,3.740365591134043e-13,0.059360399999422955,True
float32,random,1e-10,1e-11,20,1.2835463633356745e-13,3.740365591134043e-13,0.060002199999871664,True
float32,random,1e-12,1e-11,5,1.2835463633356745e-13,3.740365591134043e-13,0.06003251999791246,True
float32,random,1e-08,1e-11,5,1.2835463633356745e-13,3.740365591134043e-13,0.06003417999891099,True
float32,random,1e-12,1e-13,20,1.2860342972526446e-13,3.740365591134043e-13,0.06012981999956537,True
float32,random,1e-08,1e-11,50,1.2835463633356745e-13,3.740365591134043e-13,0.060189859996899034,True
float32,random,1e-12,1e-11,20,1.2835463633356745e-13,3.740365591134043e-13,0.060278440004913135,True
float32,random,1e-08,1e-11,20,1.2835463633356745e-13,3.740365591134043e-13,0.06030112000880763,True
float32,random,1e-08,1e-13,50,1.2860342972526446e-13,3.740365591134043e-13,0.06042078000027686,True
float32,random,1e-10,1e-13,5,1.2860342972526446e-13,3.740365591134043e-13,0.06084093999816105,True
float32,random,1e-10,1e-11,5,1.2835463633356745e-13,3.740365591134043e-13,0.061263639997923745,True
float32,random,1e-08,1e-13,20,1.2860342972526446e-13,3.740365591134043e-13,0.06127213999570813,True
float32,random,1e-12,1e-13,5,1.2860342972526446e-13,3.740365591134043e-13,0.06166812000155915,True
float32,random,1e-10,1e-13,50,1.2860342972526446e-13,3.740365591134043e-13,0.06169431999733206,True
float32,random,1e-10,1e-13,20,1.2860342972526446e-13,3.740365591134043e-13,0.061716880000312814,True
float32,random,1e-12,1e-13,50,1.2860342972526446e-13,3.740365591134043e-13,0.061904760004836135,True
float32,random,1e-08,1e-13,5,1.2860342972526446e-13,3.740365591134043e-13,0.061940120003418996,True
float32,pinv,1e-10,1e-11,20,1.3328603491025494e-13,3.940865138499564e-13,0.05529197999858297,True
float32,pinv,1e-12,1e-11,5,1.3328603491025494e-13,3.940865138499564e-13,0.056067480001365765,True
float32,pinv,1e-10,1e-11,50,1.3328603491025494e-13,3.940865138499564e-13,0.057291480002459136,True
float32,zero,1e-10,1e-11,5,1.3328603491025494e-13,3.940865138499564e-13,0.057471719998284244,True
float32,pinv,1e-10,1e-11,5,1.3328603491025494e-13,3.940865138499564e-13,0.05768893999629654,True
float32,pinv,1e-12,1e-11,20,1.3328603491025494e-13,3.940865138499564e-13,0.05773498000344261,True
float32,zero,1e-12,1e-11,50,1.3328603491025494e-13,3.940865138499564e-13,0.05824860000575427,True
float32,zero,1e-12,1e-11,20,1.3328603491025494e-13,3.940865138499564e-13,0.05846216000500135,True
float32,zero,1e-08,1e-11,50,1.3328603491025494e-13,3.940865138499564e-13,0.05886089999694377,True
float32,zero,1e-10,1e-11,50,1.3328603491025494e-13,3.940865138499564e-13,0.05916964000207372,True
float32,zero,1e-12,1e-11,5,1.3328603491025494e-13,3.940865138499564e-13,0.05961618000001181,True
float32,pinv,1e-08,1e-11,20,1.3328603491025494e-13,3.940865138499564e-13,0.060483479997492394,True
