sweep,sr,best_psnr,best_ssim,best_beta1,best_lambda,best_rank
beta1,0.1,9.580399305481084,0.14022246269738944,0.5,0.1,30
beta1,0.3,17.218970438434777,0.5499813384875322,0.5,0.1,30
beta1,0.5,23.520859355789856,0.8326400582206709,0.5,0.1,30
lambda,0.1,10.678235382714668,0.1459486839364904,0.0001,0.3,30
lambda,0.3,16.27223119999979,0.47813795032333034,0.0001,0.3,30
lambda,0.5,21.341865886961358,0.7364844485827864,0.0001,0.1,30
rank,0.1,7.7655397531407155,0.07850638978026796,0.0001,0.07,10
rank,0.3,11.79363256687462,0.3049734610844956,0.0001,0.07,10
rank,0.5,18.515178355250647,0.6239573422879127,0.0001,0.07,10
