rho,arnold_iters,psnr,ssim,nc
0.1,1,100.0,1.0,0.0
0.1,3,95.62613501860996,0.99999999837881,0.03569093462720279
0.1,5,100.0,1.0,0.0
0.1,8,94.53469032435927,0.9999999975957015,0.07202088163570673
0.2,1,57.42914488837779,0.9999876508368245,0.9859960555262215
0.2,3,57.34165373206395,0.9999873203664745,0.9885362028856524
0.2,5,57.39689242702962,0.9999874832361666,0.988295446708558
0.2,8,57.35050390606273,0.9999873306361217,0.9886485158450464
0.3,1,52.299817445679444,0.9999614790231431,0.9956599439695736
0.3,3,52.28504565719766,0.9999610996510134,0.9947751623780068
0.3,5,52.286181272432835,0.9999611282890459,0.9945031724761498
0.3,8,52.30341000113568,0.9999613321628843,0.9945976564356783
0.4,1,48.9827244056039,0.9999182902720456,0.9975708208780653
0.4,3,49.005974362541096,0.9999181795358757,0.9976482274898819
0.4,5,49.04396937599866,0.9999189519754834,0.9975091183660296
0.4,8,49.03447341255004,0.9999184448235511,0.9975369401711002
