attack,psnr_host_vs_watermarked,ssim_host_vs_watermarked,nc_wm_vs_extracted
A0_none,52.286181272432835,0.9999611282890459,0.9945031724761498
A1_speckle,22.527111432647573,0.9582523301459217,0.3306768699236297
A2_poisson,27.27212142686451,0.985632162058411,0.5974923391206081
A3_gaussian,20.36943239101643,0.9322368971569525,0.20981627892354404
A4_salt_pepper,15.167226537066686,0.7992736017509164,0.06313285463437562
A5_darken,14.514663914570956,0.6820197386665621,0.0046278154426812835
A6_brighten,14.507404681010783,0.6759918020460471,-0.0054918009410088245
A7_hist_eq,19.447917113442404,0.9406152152318249,0.027113289142266593
A8_mean_filter,53.19768712897002,0.9999689249504584,0.9820339538471105
A9_gaussian_lowpass,52.286181272432835,0.9999611282890459,0.9945031724761498
A10_rotation,17.913483935063592,0.8857206281425877,0.9411902857232675
A11_jpeg2000_like,20.079593110281508,0.9252945603083652,-0.006136709819958084
